func_name,sleepycat
query_all,1.003282070159912
query_sp2b_q11,1.0024747848510742
query_sp2b_q8,1.0035130977630615
query_sp2b_q9,1.0037658214569092
query_sp2b_q12c,1.0019640922546387
query_sp2b_q1,1.0020689964294434
query_sp2b_q10,1.003345012664795
query_sp2b_q7,1.0038509368896484
query_sp2b_q6,1.0083730220794678
query_sp2b_q4,1.001924991607666
query_sp2b_q3a,1.0027852058410645
query_sp2b_q3c,1.0036070346832275
query_sp2b_q3b,1.004749059677124
query_sp2b_q5b,1.0015349388122559
query_sp2b_q5a,1.0025029182434082
