func_name,sleepycat
query_all,1.0019001960754395
query_sp2b_q11,1.0035929679870605
query_sp2b_q8,1.003931999206543
query_sp2b_q9,1.004072904586792
query_sp2b_q12c,1.003971815109253
query_sp2b_q1,1.0020020008087158
query_sp2b_q10,1.0047760009765625
query_sp2b_q7,1.0030910968780518
query_sp2b_q6,1.002202033996582
query_sp2b_q4,1.0041019916534424
query_sp2b_q3a,1.0135369300842285
query_sp2b_q3c,1.0025501251220703
query_sp2b_q3b,1.003870964050293
query_sp2b_q5b,1.0036180019378662
query_sp2b_q5a,1.004411220550537
