func_name,sleepycat
query_all,3.049344062805176
query_sp2b_q11,3.3809268474578857
query_sp2b_q8,3.4519548416137695
query_sp2b_q9,3.0898590087890625
query_sp2b_q12c,3.0863258838653564
query_sp2b_q1,3.0215539932250977
query_sp2b_q10,3.0577549934387207
query_sp2b_q7,3.0591611862182617
query_sp2b_q6,3.127396821975708
query_sp2b_q4,3.165189027786255
query_sp2b_q3a,2.5632901191711426
query_sp2b_q3c,3.189608097076416
query_sp2b_q3b,3.3200559616088867
query_sp2b_q5b,3.1226439476013184
query_sp2b_q5a,3.0868477821350098
