func_name,sleepycat
query_all,3.15628719329834
query_sp2b_q11,3.2388200759887695
query_sp2b_q8,3.4490489959716797
query_sp2b_q9,3.3545050621032715
query_sp2b_q12c,3.1235809326171875
query_sp2b_q1,3.4226040840148926
query_sp2b_q10,3.7229530811309814
query_sp2b_q7,3.051192045211792
query_sp2b_q6,3.1595518589019775
query_sp2b_q4,3.1689867973327637
query_sp2b_q3a,3.0578091144561768
query_sp2b_q3c,3.1473801136016846
query_sp2b_q3b,3.2445759773254395
query_sp2b_q5b,3.1334950923919678
query_sp2b_q5a,3.098515033721924
