func_name,sleepycat
query_all,2.0307400226593018
query_sp2b_q11,2.035717010498047
query_sp2b_q8,2.01776385307312
query_sp2b_q9,2.067125082015991
query_sp2b_q12c,2.0285098552703857
query_sp2b_q1,2.0082430839538574
query_sp2b_q10,2.020707845687866
query_sp2b_q7,1.260361909866333
query_sp2b_q6,1.3265299797058105
query_sp2b_q4,2.0440850257873535
query_sp2b_q3a,2.0231311321258545
query_sp2b_q3c,2.0401060581207275
query_sp2b_q3b,2.025054931640625
query_sp2b_q5b,2.014241933822632
query_sp2b_q5a,2.0536699295043945
