func_name,sleepycat
query_all,2.0396640300750732
query_sp2b_q11,2.0265541076660156
query_sp2b_q8,2.031951904296875
query_sp2b_q9,2.0804998874664307
query_sp2b_q12c,2.067244052886963
query_sp2b_q1,2.0304319858551025
query_sp2b_q10,2.0435359477996826
query_sp2b_q7,1.248542070388794
query_sp2b_q6,2.042064905166626
query_sp2b_q4,2.0350840091705322
query_sp2b_q3a,1.273988962173462
query_sp2b_q3c,2.03358793258667
query_sp2b_q3b,2.0113861560821533
query_sp2b_q5b,1.3336589336395264
query_sp2b_q5a,2.044506788253784
