func_name,sleepycat
query_all,10.039521932601929
query_sp2b_q11,10.044851064682007
query_sp2b_q8,10.042739152908325
query_sp2b_q9,10.044157981872559
query_sp2b_q12c,10.039874076843262
query_sp2b_q1,10.042171955108643
query_sp2b_q10,10.041559934616089
query_sp2b_q7,10.044028997421265
query_sp2b_q6,10.037600994110107
query_sp2b_q4,10.043878078460693
query_sp2b_q3a,10.038415908813477
query_sp2b_q3c,10.04033899307251
query_sp2b_q3b,10.03930377960205
query_sp2b_q5b,10.035705089569092
query_sp2b_q5a,10.042938947677612
