func_name,sleepycat
query_all,10.067397832870483
query_sp2b_q11,10.03994083404541
query_sp2b_q8,10.040406942367554
query_sp2b_q9,10.043901920318604
query_sp2b_q12c,10.042947053909302
query_sp2b_q1,10.039700984954834
query_sp2b_q10,10.041899919509888
query_sp2b_q7,10.040170192718506
query_sp2b_q6,10.036067008972168
query_sp2b_q4,10.043066024780273
query_sp2b_q3a,10.041154861450195
query_sp2b_q3c,10.04048204421997
query_sp2b_q3b,10.04308795928955
query_sp2b_q5b,10.041527032852173
query_sp2b_q5a,10.03829288482666
