func_name,sleepycat
query_all,10.040938138961792
query_sp2b_q11,10.041606903076172
query_sp2b_q8,10.041226863861084
query_sp2b_q9,10.038242101669312
query_sp2b_q12c,10.04184103012085
query_sp2b_q1,10.027574062347412
query_sp2b_q10,10.041733980178833
query_sp2b_q7,10.042568922042847
query_sp2b_q6,10.038281917572021
query_sp2b_q4,10.04388689994812
query_sp2b_q3a,10.038815021514893
query_sp2b_q3c,10.040657997131348
query_sp2b_q3b,10.040068864822388
query_sp2b_q5b,10.038380146026611
query_sp2b_q5a,10.042917013168335
