func_name,virtuoso,postgres,sleepycat
query_all,0.44893075337922,0.43494581656272746,0.006100326953432239
query_sp2b_q1,0.16372733299412207,0.03628936771967759,0.0036138027896608833
query_sp2b_q10,0.011866238459933143,0.004445273560062154,0.002949144925671948
query_sp2b_q11,0.018495293146496214,0.006087644667403249,0.004051493378982234
query_sp2b_q12a,0.007006657713377878,156.03971191127388,1.7261226774734244
query_sp2b_q12c,0.009836424594741685,0.07040499712420019,0.028322727303499957
query_sp2b_q2,0.6692616495058794,556.9281173070107,13.933518838353251
query_sp2b_q3a,0.0660214534246512,0.05865394668777179,0.018971559046970937
query_sp2b_q3b,0.1144958596304728,0.02519246736509655,0.009131510540162403
query_sp2b_q3c,0.08732330592867586,0.008095380216650688,0.004976568334872803
query_sp2b_q4,0.6960045550036874,0.01217700927902897,0.011362027295282111
query_sp2b_q5a,0.031044913497350876,0.012684181513777676,0.010836852318732151
query_sp2b_q5b,0.030402003772666292,0.008311927628894634,0.007984917542765833
query_sp2b_q6,0.09535518089483312,0.01596281712572854,0.01361684417233136
query_sp2b_q7,0.10995670020928723,0.016054647996636206,0.012584024661167809
query_sp2b_q8,0.023999962377402737,0.02099944121231646,0.019831559744419674
query_sp2b_q9,0.015180607611814287,0.007665695315941871,0.005242093233566363
