func_name,virtuoso
query_all,1.367629587650299
query_sp2b_q1,0.011180520057678223
query_sp2b_q10,0.02350114583969116
query_sp2b_q11,0.016460490226745606
query_sp2b_q12a,0.013112938404083252
query_sp2b_q12c,0.0043730497360229496
query_sp2b_q2,0.5449903964996338
query_sp2b_q3a,0.11265782117843628
query_sp2b_q3b,0.0081001877784729
query_sp2b_q3c,0.00490189790725708
query_sp2b_q4,2.549759304523468
query_sp2b_q5a,0.11306291818618774
query_sp2b_q5b,0.1231786847114563
query_sp2b_q6,0.3396427989006042
query_sp2b_q7,0.22672524452209472
query_sp2b_q8,0.06729656457901001
query_sp2b_q9,0.013669049739837647
