func_name,virtuoso
query_all,1.2781410217285156
query_sp2b_q11,0.01592087745666504
query_sp2b_q8,0.060131072998046875
query_sp2b_q9,0.013002872467041016
query_sp2b_q12a,0.011033058166503906
query_sp2b_q12c,0.0032699108123779297
query_sp2b_q2,0.5152411460876465
query_sp2b_q1,0.004563808441162109
query_sp2b_q10,0.021589994430541992
query_sp2b_q7,0.22544407844543457
query_sp2b_q6,0.3407859802246094
query_sp2b_q4,2.6140549182891846
query_sp2b_q3a,0.10865998268127441
query_sp2b_q3c,0.004247903823852539
query_sp2b_q3b,0.004479885101318359
query_sp2b_q5b,0.14014697074890137
query_sp2b_q5a,0.1193850040435791
