func_name,virtuoso
query_all,1.3191719055175781
query_sp2b_q11,0.015383005142211914
query_sp2b_q8,0.07550191879272461
query_sp2b_q9,0.01271200180053711
query_sp2b_q12a,0.011300086975097656
query_sp2b_q12c,0.0036470890045166016
query_sp2b_q2,0.477247953414917
query_sp2b_q1,0.004904985427856445
query_sp2b_q10,0.023966073989868164
query_sp2b_q7,0.2278609275817871
query_sp2b_q6,0.30002498626708984
query_sp2b_q4,2.4626100063323975
query_sp2b_q3a,0.1062459945678711
query_sp2b_q3c,0.0036988258361816406
query_sp2b_q3b,0.004307985305786133
query_sp2b_q5b,0.13341903686523438
query_sp2b_q5a,0.11177587509155273
