func_name,virtuoso
query_all,0.14122036930918863
query_sp2b_q1,0.028010898822457893
query_sp2b_q10,0.008264312820553496
query_sp2b_q11,0.0028077793673143415
query_sp2b_q12a,0.00403042830294442
query_sp2b_q12c,0.004351446739669577
query_sp2b_q2,0.12923321250346628
query_sp2b_q3a,0.012763827724276597
query_sp2b_q3b,0.0133408744730555
query_sp2b_q3c,0.003372605355038482
query_sp2b_q4,0.14592243935800994
query_sp2b_q5a,0.007777553535612447
query_sp2b_q5b,0.020751069002118337
query_sp2b_q6,0.04993628348151569
query_sp2b_q7,0.025811366297579977
query_sp2b_q8,0.021525776697116278
query_sp2b_q9,0.002103981000025949
