func_name,virtuoso
query_all,1.232612133026123
query_sp2b_q11,0.01566290855407715
query_sp2b_q8,0.05849480628967285
query_sp2b_q9,0.014811038970947266
query_sp2b_q12a,0.010965824127197266
query_sp2b_q12c,0.0033228397369384766
query_sp2b_q2,0.5238330364227295
query_sp2b_q1,0.004823923110961914
query_sp2b_q10,0.020246028900146484
query_sp2b_q7,0.21934795379638672
query_sp2b_q6,0.3112480640411377
query_sp2b_q4,2.4085330963134766
query_sp2b_q3a,0.10437393188476562
query_sp2b_q3c,0.004269123077392578
query_sp2b_q3b,0.004892110824584961
query_sp2b_q5b,0.11005187034606934
query_sp2b_q5a,0.12959814071655273
