func_name,virtuoso
query_all,1.4799718856811523
query_sp2b_q11,0.01553201675415039
query_sp2b_q8,0.06003999710083008
query_sp2b_q9,0.012966156005859375
query_sp2b_q12a,0.010961055755615234
query_sp2b_q12c,0.003152132034301758
query_sp2b_q2,0.5127439498901367
query_sp2b_q1,0.004564046859741211
query_sp2b_q10,0.020119905471801758
query_sp2b_q7,0.21311211585998535
query_sp2b_q6,0.29586100578308105
query_sp2b_q4,2.4851560592651367
query_sp2b_q3a,0.10770797729492188
query_sp2b_q3c,0.0037529468536376953
query_sp2b_q3b,0.004705905914306641
query_sp2b_q5b,0.11006689071655273
query_sp2b_q5a,0.10800719261169434
