func_name,virtuoso,postgres,sleepycat
query_all,1.2707719802856445,0.01734185218811035,0.005872011184692383
query_sp2b_q11,0.017357826232910156,0.030804157257080078,0.015253067016601562
query_sp2b_q8,0.04908895492553711,0.15435218811035156,0.09967184066772461
query_sp2b_q9,0.02471303939819336,0.04596590995788574,0.022886991500854492
query_sp2b_q12a,0.014821052551269531,202.3232340812683,0.2017500400543213
query_sp2b_q12c,0.0032770633697509766,0.029548168182373047,0.010608911514282227
query_sp2b_q2,0.5854408740997314,104.23219799995422,22.438067197799683
query_sp2b_q1,0.0048980712890625,0.029307126998901367,0.01592421531677246
query_sp2b_q10,0.025252103805541992,0.02127814292907715,0.0075070858001708984
query_sp2b_q7,0.022090911865234375,0.06029796600341797,0.04896402359008789
query_sp2b_q6,0.3256549835205078,0.0665121078491211,0.05455493927001953
query_sp2b_q4,2.809739828109741,0.05474996566772461,0.03810715675354004
query_sp2b_q3a,0.12181806564331055,0.0367579460144043,0.023499011993408203
query_sp2b_q3c,0.004122018814086914,0.032859086990356445,0.027037858963012695
query_sp2b_q3b,0.005048036575317383,0.033349037170410156,0.020811080932617188
query_sp2b_q5b,0.11797308921813965,0.03134894371032715,0.01943492889404297
query_sp2b_q5a,0.11039304733276367,0.05049705505371094,0.032196044921875
