func_name,virtuoso,_4store,postgres,sleepycat,memory
query_all,0.23609524973375276,0.530401396690314,0.22086847739586868,0.0010778659329275932,0.0009461590895416515
query_sp2b_q1,0.11758323704866441,0.0032921325819807944,0.005547198786124949,0.002741506651401297,0.002613462904414187
query_sp2b_q10,0.003645125141839363,0.003558549316995525,0.0039017589649115937,0.0014118021688014554,0.001292055672997738
query_sp2b_q11,0.006530993027374173,0.003149716493546262,0.004989979189176164,0.0027118390446709125,0.0025265336505086214
query_sp2b_q12a,0.002690010231492282,1.068115456568206,2.8521499586649925,0.2191631116202713,2.8837354922022556
query_sp2b_q12c,0.006989820918873352,0.0010650461863245181,0.007540974529603468,0.0017769593144652117,0.0017658828327112345
query_sp2b_q2,0.3570513602306797,0.10193839836534337,16.423747334730674,0.980950927097716,0.30985647322024784
query_sp2b_q3a,0.01829025926045098,0.013610852666843537,0.0059778884852124976,0.003648735504422465,0.0036139666675076595
query_sp2b_q3b,0.03664160949777931,0.0023381013267914003,0.005861234301338546,0.0037417049832913774,0.0036340923015839204
query_sp2b_q3c,0.02277935836947775,0.0017714432802879356,0.005929465254876957,0.0038481744802724314,0.003628772726800765
query_sp2b_q4,0.4785967967836127,1.4548212695350848,0.008777180693186852,0.006633714240241761,0.008079193945265867
query_sp2b_q5a,0.02100816925142518,2.657927064597969,0.00766315241697451,0.006636193123294017,0.005470856266218281
query_sp2b_q5b,0.01927561993491733,0.03326257270345326,0.06435236108734348,0.0032777445644950973,0.003232511470822483
query_sp2b_q6,0.09814982622028592,2.3387046308662263,0.01161122217731781,0.011749122756888523,0.009498957769341251
query_sp2b_q7,0.06426292015842121,1.1202373061376572,0.013234692431662561,0.011999128575045613,0.008545536049586347
query_sp2b_q8,0.013630252086098995,0.23874154913796752,0.016463721230757084,0.015273701693847844,0.015199190663509594
query_sp2b_q9,0.004084575273520716,0.03599802778407716,0.005737155823960451,0.0034009240144681416,0.0032454230231728095
