func_name,sleepycat
query_all,5.289840936660767
query_sp2b_q11,5.359543085098267
query_sp2b_q8,5.440964937210083
query_sp2b_q9,5.252933025360107
query_sp2b_q12c,5.22008204460144
query_sp2b_q1,5.323689937591553
query_sp2b_q10,5.213409900665283
query_sp2b_q7,5.6287620067596436
query_sp2b_q6,5.571326971054077
query_sp2b_q4,5.367002010345459
query_sp2b_q3a,5.248773097991943
query_sp2b_q3c,5.260530948638916
query_sp2b_q3b,5.560887813568115
query_sp2b_q5b,5.367264032363892
query_sp2b_q5a,5.335701942443848
