func_name,sleepycat
query_all,1.0043089389801025
query_sp2b_q11,1.0032799243927002
query_sp2b_q8,1.003744125366211
query_sp2b_q9,1.0028021335601807
query_sp2b_q12c,1.0045480728149414
query_sp2b_q1,1.0019049644470215
query_sp2b_q10,1.0042569637298584
query_sp2b_q7,1.0040171146392822
query_sp2b_q6,1.0032758712768555
query_sp2b_q4,1.0020320415496826
query_sp2b_q3a,1.002591848373413
query_sp2b_q3c,1.0037829875946045
query_sp2b_q3b,1.0037751197814941
query_sp2b_q5b,1.0038690567016602
query_sp2b_q5a,1.0017168521881104
