func_name,sleepycat
query_all,1.0029888153076172
query_sp2b_q11,1.0040078163146973
query_sp2b_q8,1.0035948753356934
query_sp2b_q9,1.0040109157562256
query_sp2b_q12c,1.0040678977966309
query_sp2b_q1,1.0037429332733154
query_sp2b_q10,1.012342929840088
query_sp2b_q7,1.0047669410705566
query_sp2b_q6,1.0045478343963623
query_sp2b_q4,1.0025649070739746
query_sp2b_q3a,1.0035347938537598
query_sp2b_q3c,1.0035841464996338
query_sp2b_q3b,1.0026049613952637
query_sp2b_q5b,1.0039899349212646
query_sp2b_q5a,1.0040810108184814
