func_name,sleepycat
query_all,1.0034658908843994
query_sp2b_q11,1.0046648979187012
query_sp2b_q8,1.0039069652557373
query_sp2b_q9,1.0040268898010254
query_sp2b_q12c,1.004201889038086
query_sp2b_q1,1.0040199756622314
query_sp2b_q10,1.0051958560943604
query_sp2b_q7,1.0040650367736816
query_sp2b_q6,1.0040850639343262
query_sp2b_q4,1.0041871070861816
query_sp2b_q3a,1.0046648979187012
query_sp2b_q3c,1.004093885421753
query_sp2b_q3b,1.0040109157562256
query_sp2b_q5b,1.00435209274292
query_sp2b_q5a,1.0040860176086426
