func_name,sleepycat
query_all,1.0019559860229492
query_sp2b_q11,1.0099949836730957
query_sp2b_q8,1.0041851997375488
query_sp2b_q9,1.004101037979126
query_sp2b_q12c,1.0054550170898438
query_sp2b_q1,1.0037119388580322
query_sp2b_q10,1.0037610530853271
query_sp2b_q7,1.0052189826965332
query_sp2b_q6,1.0043439865112305
query_sp2b_q4,1.003737211227417
query_sp2b_q3a,1.0035338401794434
query_sp2b_q3c,1.0044238567352295
query_sp2b_q3b,1.0040569305419922
query_sp2b_q5b,1.004220962524414
query_sp2b_q5a,1.0024981498718262
