func_name,sleepycat
query_all,1.0037379264831543
query_sp2b_q11,1.0031001567840576
query_sp2b_q8,1.0035030841827393
query_sp2b_q9,1.0027320384979248
query_sp2b_q12c,1.0056838989257812
query_sp2b_q1,1.0042290687561035
query_sp2b_q10,1.0039410591125488
query_sp2b_q7,1.0057339668273926
query_sp2b_q6,1.0021979808807373
query_sp2b_q4,1.004211187362671
query_sp2b_q3a,1.0036168098449707
query_sp2b_q3c,1.0026459693908691
query_sp2b_q3b,1.0023770332336426
query_sp2b_q5b,1.0023601055145264
query_sp2b_q5a,1.0047979354858398
